canonical_name,phonetic_variation,category
Eagle Nebula,egle nebula,nebula
Eagle Nebula,eaglle nebula,nebula
Eagle Nebula,eagle nebuula,nebula
Eagle Nebula,eagle neb,nebula
Eagle Nebula,go to eagle,nebula
Eagle Nebula,slew to eagle nebula,nebula
Eagle Nebula,pillars of creation,nebula
Eagle Nebula,show me eagle nebula,nebula
Eagle Nebula,navigate to eagle,nebula
Eagle Nebula,star queen nebula,nebula
Ring Nebula,ring nebula,nebula
Ring Nebula,the ring nebula,nebula
Ring Nebula,ring,nebula
Ring Nebula,m57,nebula
Ring Nebula,messier 57,nebula
Ring Nebula,rinng nebula,nebula
Ring Nebula,rring nebula,nebula
Ring Nebula,ring nebuula,nebula
Ring Nebula,wring nebula,nebula
Ring Nebula,ring nebullah,nebula
Ring Nebula,go to ring,nebula
Ring Nebula,slew to ring nebula,nebula
Ring Nebula,show me ring nebula,nebula
Ring Nebula,navigate to ring,nebula
Ring Nebula,lyra ring,nebula
Lagoon Nebula,lagoon nebula,nebula
Lagoon Nebula,the lagoon,nebula
Lagoon Nebula,lagoon,nebula
Lagoon Nebula,m8,nebula
Lagoon Nebula,messier 8,nebula
Lagoon Nebula,lagune nebula,nebula
Lagoon Nebula,lagun nebula,nebula
Lagoon Nebula,lagoon nebuula,nebula
Lagoon Nebula,lagoom nebula,nebula
Lagoon Nebula,lago nebula,nebula
Lagoon Nebula,lagon nebula,nebula
Lagoon Nebula,lagoonn nebula,nebula
Lagoon Nebula,the lagoon neb,nebula
Lagoon Nebula,go to lagoon,nebula
Lagoon Nebula,slew to lagoon nebula,nebula
Lagoon Nebula,show me lagoon,nebula
Helix Nebula,helix nebula,nebula
Helix Nebula,the helix,nebula
Helix Nebula,helix,nebula
Helix Nebula,ngc 7293,nebula
Helix Nebula,healix nebula,nebula
Helix Nebula,heelix nebula,nebula
Helix Nebula,heeliks nebula,nebula
Helix Nebula,hellix nebula,nebula
Helix Nebula,eye of god,nebula
Helix Nebula,eye of god nebula,nebula
Helix Nebula,helix nebuula,nebula
Helix Nebula,go to helix,nebula
Helix Nebula,slew to helix nebula,nebula
Helix Nebula,show me helix,nebula
Tarantula Nebula,tarantula nebula,nebula
Tarantula Nebula,tarantula,nebula
Tarantula Nebula,the tarantula,nebula
Tarantula Nebula,ngc 2070,nebula
Tarantula Nebula,tarentula nebula,nebula
Tarantula Nebula,tarantuula nebula,nebula
Tarantula Nebula,tarantulla nebula,nebula
Tarantula Nebula,tarantla nebula,nebula
Tarantula Nebula,terantula nebula,nebula
Tarantula Nebula,30 doradus,nebula
Tarantula Nebula,go to tarantula,nebula
Tarantula Nebula,slew to tarantula nebula,nebula
Tarantula Nebula,dorado nebula,nebula
Cat's Eye Nebula,cat's eye nebula,nebula
Cat's Eye Nebula,cats eye nebula,nebula
Cat's Eye Nebula,cat eye nebula,nebula
Cat's Eye Nebula,catseye nebula,nebula
Cat's Eye Nebula,cat eye,nebula
Cat's Eye Nebula,cats eye,nebula
Cat's Eye Nebula,ngc 6543,nebula
Cat's Eye Nebula,kats eye nebula,nebula
Cat's Eye Nebula,cat's aye nebula,nebula
Cat's Eye Nebula,catz eye nebula,nebula
Cat's Eye Nebula,go to cat's eye,nebula
Cat's Eye Nebula,show me cats eye nebula,nebula
Cat's Eye Nebula,cat nebula,nebula
Dumbbell Nebula,dumbbell nebula,nebula
Dumbbell Nebula,the dumbbell,nebula
Dumbbell Nebula,dumbbell,nebula
Dumbbell Nebula,m27,nebula
Dumbbell Nebula,messier 27,nebula
Dumbbell Nebula,dumbell nebula,nebula
Dumbbell Nebula,dumb bell nebula,nebula
Dumbbell Nebula,dumbel nebula,nebula
Dumbbell Nebula,dumbbel nebula,nebula
Dumbbell Nebula,apple core nebula,nebula
Dumbbell Nebula,go to dumbbell,nebula
Dumbbell Nebula,slew to dumbbell nebula,nebula
Dumbbell Nebula,show me dumbbell,nebula
Rosette Nebula,rosette nebula,nebula
Rosette Nebula,the rosette,nebula
Rosette Nebula,rosette,nebula
Rosette Nebula,ngc 2237,nebula
Rosette Nebula,rosete nebula,nebula
Rosette Nebula,rozette nebula,nebula
Rosette Nebula,rosett nebula,nebula
Rosette Nebula,rossette nebula,nebula
Rosette Nebula,rose nebula,nebula
Rosette Nebula,go to rosette,nebula
Rosette Nebula,slew to rosette nebula,nebula
Rosette Nebula,show me rosette,nebula
Rosette Nebula,skull nebula,nebula
Bubble Nebula,bubble nebula,nebula
Bubble Nebula,the bubble,nebula
Bubble Nebula,bubble,nebula
Bubble Nebula,ngc 7635,nebula
Bubble Nebula,bubbel nebula,nebula
Bubble Nebula,buble nebula,nebula
Bubble Nebula,bubblle nebula,nebula
Bubble Nebula,go to bubble,nebula
Bubble Nebula,slew to bubble nebula,nebula
Bubble Nebula,show me bubble,nebula
Trifid Nebula,trifid nebula,nebula
Trifid Nebula,the trifid,nebula
Trifid Nebula,trifid,nebula
Trifid Nebula,m20,nebula
Trifid Nebula,messier 20,nebula
Trifid Nebula,triffid nebula,nebula
Trifid Nebula,trifed nebula,nebula
Trifid Nebula,tri fid nebula,nebula
Trifid Nebula,trifid nebuula,nebula
Trifid Nebula,go to trifid,nebula
Trifid Nebula,slew to trifid nebula,nebula
Omega Nebula,omega nebula,nebula
Omega Nebula,the omega,nebula
Omega Nebula,omega,nebula
Omega Nebula,m17,nebula
Omega Nebula,messier 17,nebula
Omega Nebula,omaga nebula,nebula
Omega Nebula,omegga nebula,nebula
Omega Nebula,swan nebula,nebula
Omega Nebula,horseshoe nebula,nebula
Omega Nebula,lobster nebula,nebula
Omega Nebula,go to omega,nebula
Omega Nebula,slew to omega nebula,nebula
North America Nebula,north america nebula,nebula
North America Nebula,north america,nebula
North America Nebula,ngc 7000,nebula
North America Nebula,north american nebula,nebula
North America Nebula,n america nebula,nebula
North America Nebula,america nebula,nebula
North America Nebula,go to north america nebula,nebula
North America Nebula,show me north america,nebula
Pelican Nebula,pelican nebula,nebula
Pelican Nebula,the pelican,nebula
Pelican Nebula,pelican,nebula
Pelican Nebula,ic 5070,nebula
Pelican Nebula,peliken nebula,nebula
Pelican Nebula,pellican nebula,nebula
Pelican Nebula,pelacon nebula,nebula
Pelican Nebula,go to pelican,nebula
Pelican Nebula,slew to pelican nebula,nebula
Pelican Nebula,show me pelican,nebula
Veil Nebula,veil nebula,nebula
Veil Nebula,the veil,nebula
Veil Nebula,veil,nebula
Veil Nebula,ngc 6960,nebula
Veil Nebula,vale nebula,nebula
Veil Nebula,vail nebula,nebula
Veil Nebula,viel nebula,nebula
Veil Nebula,cygnus loop,nebula
Veil Nebula,go to veil,nebula
Veil Nebula,slew to veil nebula,nebula
Veil Nebula,witches broom,nebula
Flame Nebula,flame nebula,nebula
Flame Nebula,the flame,nebula
Flame Nebula,flame,nebula
Flame Nebula,ngc 2024,nebula
Flame Nebula,flaim nebula,nebula
Flame Nebula,flam nebula,nebula
Flame Nebula,flamme nebula,nebula
Flame Nebula,go to flame,nebula
Flame Nebula,slew to flame nebula,nebula
Flame Nebula,show me flame,nebula
Cone Nebula,cone nebula,nebula
Cone Nebula,the cone,nebula
Cone Nebula,cone,nebula
Cone Nebula,ngc 2264,nebula
Cone Nebula,coan nebula,nebula
Cone Nebula,conne nebula,nebula
Cone Nebula,kon nebula,nebula
Cone Nebula,christmas tree cluster,nebula
Cone Nebula,go to cone nebula,nebula
Andromeda Galaxy,andromeda galaxy,galaxy
Andromeda Galaxy,andromeda,galaxy
Andromeda Galaxy,m31,galaxy
Andromeda Galaxy,messier 31,galaxy
Andromeda Galaxy,andromida galaxy,galaxy
Andromeda Galaxy,andromada galaxy,galaxy
Andromeda Galaxy,andromeda galaxie,galaxy
Andromeda Galaxy,andrometa galaxy,galaxy
Andromeda Galaxy,andremeda galaxy,galaxy
Andromeda Galaxy,andromida,galaxy
Andromeda Galaxy,the andromeda,galaxy
Andromeda Galaxy,go to andromeda,galaxy
Andromeda Galaxy,slew to andromeda,galaxy
Andromeda Galaxy,show me andromeda,galaxy
Andromeda Galaxy,navigate to andromeda,galaxy
Andromeda Galaxy,andromeda galexy,galaxy
Andromeda Galaxy,andromida glaxy,galaxy
Andromeda Galaxy,andromedda,galaxy
Andromeda Galaxy,andrommeda,galaxy
Andromeda Galaxy,an dromeda,galaxy
Whirlpool Galaxy,whirlpool galaxy,galaxy
Whirlpool Galaxy,whirlpool,galaxy
Whirlpool Galaxy,m51,galaxy
Whirlpool Galaxy,messier 51,galaxy
Whirlpool Galaxy,whirpool galaxy,galaxy
Whirlpool Galaxy,whirlpol galaxy,galaxy
Whirlpool Galaxy,wirlpool galaxy,galaxy
Whirlpool Galaxy,wherlpool galaxy,galaxy
Whirlpool Galaxy,wirl pool galaxy,galaxy
Whirlpool Galaxy,whirl pool,galaxy
Whirlpool Galaxy,go to whirlpool,galaxy
Whirlpool Galaxy,slew to whirlpool,galaxy
Whirlpool Galaxy,show me whirlpool,galaxy
Sombrero Galaxy,sombrero galaxy,galaxy
Sombrero Galaxy,sombrero,galaxy
Sombrero Galaxy,m104,galaxy
Sombrero Galaxy,messier 104,galaxy
Sombrero Galaxy,sombero galaxy,galaxy
Sombrero Galaxy,sombraro galaxy,galaxy
Sombrero Galaxy,sombrerro galaxy,galaxy
Sombrero Galaxy,sombreroo galaxy,galaxy
Sombrero Galaxy,sombrayro galaxy,galaxy
Sombrero Galaxy,the sombrero,galaxy
Sombrero Galaxy,go to sombrero,galaxy
Sombrero Galaxy,slew to sombrero galaxy,galaxy
Sombrero Galaxy,hat galaxy,galaxy
Triangulum Galaxy,triangulum galaxy,galaxy
Triangulum Galaxy,triangulum,galaxy
Triangulum Galaxy,m33,galaxy
Triangulum Galaxy,messier 33,galaxy
Triangulum Galaxy,trianglum galaxy,galaxy
Triangulum Galaxy,triangulum galaxie,galaxy
Triangulum Galaxy,triangullum,galaxy
Triangulum Galaxy,trianngulum galaxy,galaxy
Triangulum Galaxy,pinwheel galaxy m33,galaxy
Triangulum Galaxy,the triangulum,galaxy
Triangulum Galaxy,go to triangulum,galaxy
Triangulum Galaxy,slew to triangulum,galaxy
Triangulum Galaxy,tri angulum,galaxy
Pinwheel Galaxy,pinwheel galaxy,galaxy
Pinwheel Galaxy,pinwheel,galaxy
Pinwheel Galaxy,m101,galaxy
Pinwheel Galaxy,messier 101,galaxy
Pinwheel Galaxy,pinweel galaxy,galaxy
Pinwheel Galaxy,pin wheel galaxy,galaxy
Pinwheel Galaxy,pinwhel galaxy,galaxy
Pinwheel Galaxy,pinwheeel galaxy,galaxy
Pinwheel Galaxy,go to pinwheel,galaxy
Pinwheel Galaxy,slew to pinwheel,galaxy
Sunflower Galaxy,sunflower galaxy,galaxy
Sunflower Galaxy,sunflower,galaxy
Sunflower Galaxy,m63,galaxy
Sunflower Galaxy,messier 63,galaxy
Sunflower Galaxy,sunflouwer galaxy,galaxy
Sunflower Galaxy,sun flower galaxy,galaxy
Sunflower Galaxy,sunflowwer,galaxy
Sunflower Galaxy,go to sunflower,galaxy
Sunflower Galaxy,slew to sunflower galaxy,galaxy
Black Eye Galaxy,black eye galaxy,galaxy
Black Eye Galaxy,black eye,galaxy
Black Eye Galaxy,m64,galaxy
Black Eye Galaxy,messier 64,galaxy
Black Eye Galaxy,blackeye galaxy,galaxy
Black Eye Galaxy,black i galaxy,galaxy
Black Eye Galaxy,blak eye galaxy,galaxy
Black Eye Galaxy,sleeping beauty galaxy,galaxy
Black Eye Galaxy,evil eye galaxy,galaxy
Black Eye Galaxy,go to black eye,galaxy
Black Eye Galaxy,slew to black eye galaxy,galaxy
Cigar Galaxy,cigar galaxy,galaxy
Cigar Galaxy,cigar,galaxy
Cigar Galaxy,m82,galaxy
Cigar Galaxy,messier 82,galaxy
Cigar Galaxy,ciggar galaxy,galaxy
Cigar Galaxy,sigar galaxy,galaxy
Cigar Galaxy,cigare galaxy,galaxy
Cigar Galaxy,go to cigar,galaxy
Cigar Galaxy,slew to cigar galaxy,galaxy
Bode's Galaxy,bode's galaxy,galaxy
Bode's Galaxy,bodes galaxy,galaxy
Bode's Galaxy,bode galaxy,galaxy
Bode's Galaxy,m81,galaxy
Bode's Galaxy,messier 81,galaxy
Bode's Galaxy,bodess galaxy,galaxy
Bode's Galaxy,bodies galaxy,galaxy
Bode's Galaxy,boadies galaxy,galaxy
Bode's Galaxy,go to bode's,galaxy
Bode's Galaxy,slew to bode's galaxy,galaxy
Bode's Galaxy,bode,galaxy
Centaurus A,centaurus a,galaxy
Centaurus A,centaurus,galaxy
Centaurus A,ngc 5128,galaxy
Centaurus A,cen a,galaxy
Centaurus A,centarus a,galaxy
Centaurus A,centauros a,galaxy
Centaurus A,centauras a,galaxy
Centaurus A,centaurs a,galaxy
Centaurus A,go to centaurus,galaxy
Centaurus A,slew to centaurus a,galaxy
Centaurus A,hamburger galaxy,galaxy
Cartwheel Galaxy,cartwheel galaxy,galaxy
Cartwheel Galaxy,cartwheel,galaxy
Cartwheel Galaxy,cart wheel galaxy,galaxy
Cartwheel Galaxy,cartweel galaxy,galaxy
Cartwheel Galaxy,cartwhel galaxy,galaxy
Cartwheel Galaxy,kartweel galaxy,galaxy
Cartwheel Galaxy,go to cartwheel,galaxy
Cartwheel Galaxy,slew to cartwheel galaxy,galaxy
Pleiades,pleiades,cluster
Pleiades,the pleiades,cluster
Pleiades,m45,cluster
Pleiades,messier 45,cluster
Pleiades,seven sisters,cluster
Pleiades,playades,cluster
Pleiades,pleades,cluster
Pleiades,pleiedes,cluster
Pleiades,pleiadas,cluster
Pleiades,plieades,cluster
Pleiades,pleiadees,cluster
Pleiades,pleyades,cluster
Pleiades,pliades,cluster
Pleiades,the seven sisters,cluster
Pleiades,subaru,cluster
Pleiades,go to pleiades,cluster
Pleiades,slew to pleiades,cluster
Pleiades,show me pleiades,cluster
Pleiades,navigate to pleiades,cluster
Pleiades,playadees,cluster
Pleiades,playa dees,cluster
Pleiades,pleadies,cluster
Hyades,hyades,cluster
Hyades,the hyades,cluster
Hyades,melotte 25,cluster
Hyades,hiyades,cluster
Hyades,hiades,cluster
Hyades,haydes,cluster
Hyades,hyads,cluster
Hyades,hyaades,cluster
Hyades,hi a dees,cluster
Hyades,hyadees,cluster
Hyades,go to hyades,cluster
Hyades,slew to hyades,cluster
Hyades,show me hyades,cluster
Beehive Cluster,beehive cluster,cluster
Beehive Cluster,beehive,cluster
Beehive Cluster,m44,cluster
Beehive Cluster,messier 44,cluster
Beehive Cluster,praesepe,cluster
Beehive Cluster,bee hive cluster,cluster
Beehive Cluster,beehiv cluster,cluster
Beehive Cluster,beehyve cluster,cluster
Beehive Cluster,be hive cluster,cluster
Beehive Cluster,bee hive,cluster
Beehive Cluster,beehivve,cluster
Beehive Cluster,go to beehive,cluster
Beehive Cluster,slew to beehive cluster,cluster
Beehive Cluster,the manger,cluster
Hercules Cluster,hercules cluster,cluster
Hercules Cluster,hercules,cluster
Hercules Cluster,m13,cluster
Hercules Cluster,messier 13,cluster
Hercules Cluster,herculees cluster,cluster
Hercules Cluster,hercales cluster,cluster
Hercules Cluster,herkules cluster,cluster
Hercules Cluster,herculs cluster,cluster
Hercules Cluster,great hercules cluster,cluster
Hercules Cluster,great globular,cluster
Hercules Cluster,go to hercules,cluster
Hercules Cluster,slew to hercules cluster,cluster
Hercules Cluster,show me m13,cluster
Omega Centauri,omega centauri,cluster
Omega Centauri,omega cen,cluster
Omega Centauri,ngc 5139,cluster
Omega Centauri,omaga centauri,cluster
Omega Centauri,omega centari,cluster
Omega Centauri,omega centaurii,cluster
Omega Centauri,omega centaurus,cluster
Omega Centauri,oh mega centauri,cluster
Omega Centauri,o mega cen,cluster
Omega Centauri,go to omega centauri,cluster
Omega Centauri,slew to omega cen,cluster
Double Cluster,double cluster,cluster
Double Cluster,the double cluster,cluster
Double Cluster,ngc 869,cluster
Double Cluster,ngc 884,cluster
Double Cluster,duble cluster,cluster
Double Cluster,doubel cluster,cluster
Double Cluster,double clustter,cluster
Double Cluster,caldwell 14,cluster
Double Cluster,h and chi persei,cluster
Double Cluster,go to double cluster,cluster
Wild Duck Cluster,wild duck cluster,cluster
Wild Duck Cluster,wild duck,cluster
Wild Duck Cluster,m11,cluster
Wild Duck Cluster,messier 11,cluster
Wild Duck Cluster,wild duk cluster,cluster
Wild Duck Cluster,wilde duck cluster,cluster
Wild Duck Cluster,wildduck,cluster
Wild Duck Cluster,go to wild duck,cluster
Wild Duck Cluster,slew to wild duck cluster,cluster
Jewel Box,jewel box,cluster
Jewel Box,the jewel box,cluster
Jewel Box,ngc 4755,cluster
Jewel Box,kappa crucis,cluster
Jewel Box,jewl box,cluster
Jewel Box,jewle box,cluster
Jewel Box,jewel boxx,cluster
Jewel Box,jewell box,cluster
Jewel Box,go to jewel box,cluster
Jewel Box,slew to jewel box cluster,cluster
Butterfly Cluster,butterfly cluster,cluster
Butterfly Cluster,butterfly,cluster
Butterfly Cluster,m6,cluster
Butterfly Cluster,messier 6,cluster
Butterfly Cluster,buttefly cluster,cluster
Butterfly Cluster,butterflly cluster,cluster
Butterfly Cluster,butter fly cluster,cluster
Butterfly Cluster,go to butterfly,cluster
Butterfly Cluster,slew to butterfly cluster,cluster
Sirius,sirius,star
Sirius,sirius star,star
Sirius,alpha canis majoris,star
Sirius,dog star,star
Sirius,sirus,star
Sirius,sirous,star
Sirius,siriuss,star
Sirius,cyrus,star
Sirius,syrius,star
Sirius,sirrius,star
Sirius,go to sirius,star
Sirius,slew to sirius,star
Sirius,show me sirius,star
Sirius,navigate to sirius,star
Sirius,find sirius,star
Sirius,seerius,star
Sirius,cirius,star
Betelgeuse,betelgeuse,star
Betelgeuse,betelgeuse star,star
Betelgeuse,alpha orionis,star
Betelgeuse,beetlejuice,star
Betelgeuse,betelgeuze,star
Betelgeuse,beteljuice,star
Betelgeuse,betelgeus,star
Betelgeuse,betelguese,star
Betelgeuse,betlegeuse,star
Betelgeuse,betelgueuse,star
Betelgeuse,beetle juice,star
Betelgeuse,beetle jews,star
Betelgeuse,go to betelgeuse,star
Betelgeuse,slew to betelgeuse,star
Betelgeuse,show me betelgeuse,star
Betelgeuse,beatle juice,star
Betelgeuse,bettelgeuse,star
Betelgeuse,bettlejuice,star
Betelgeuse,betelguse,star
Rigel,rigel,star
Rigel,rigel star,star
Rigel,beta orionis,star
Rigel,rygel,star
Rigel,riggel,star
Rigel,rijel,star
Rigel,rigell,star
Rigel,reigel,star
Rigel,rygell,star
Rigel,riegel,star
Rigel,go to rigel,star
Rigel,slew to rigel,star
Rigel,show me rigel,star
Vega,vega,star
Vega,vega star,star
Vega,alpha lyrae,star
Vega,veega,star
Vega,vaiga,star
Vega,vegga,star
Vega,viga,star
Vega,vegah,star
Vega,vaega,star
Vega,wega,star
Vega,go to vega,star
Vega,slew to vega,star
Vega,show me vega,star
Arcturus,arcturus,star
Arcturus,arcturus star,star
Arcturus,alpha bootis,star
Arcturus,arcturis,star
Arcturus,arkturis,star
Arcturus,arcturos,star
Arcturus,arcturas,star
Arcturus,arkturus,star
Arcturus,arckturus,star
Arcturus,go to arcturus,star
Arcturus,slew to arcturus,star
Arcturus,show me arcturus,star
Capella,capella,star
Capella,capella star,star
Capella,alpha aurigae,star
Capella,cappella,star
Capella,kapella,star
Capella,capela,star
Capella,capellah,star
Capella,capellaa,star
Capella,capila,star
Capella,go to capella,star
Capella,slew to capella,star
Capella,show me capella,star
Aldebaran,aldebaran,star
Aldebaran,aldebaran star,star
Aldebaran,alpha tauri,star
Aldebaran,eye of taurus,star
Aldebaran,aldabaran,star
Aldebaran,aldeberan,star
Aldebaran,aldebaraan,star
Aldebaran,aldebran,star
Aldebaran,alderban,star
Aldebaran,aldebarann,star
Aldebaran,al debaran,star
Aldebaran,al deb a ran,star
Aldebaran,aldibaran,star
Aldebaran,go to aldebaran,star
Aldebaran,slew to aldebaran,star
Aldebaran,show me aldebaran,star
Antares,antares,star
Antares,antares star,star
Antares,alpha scorpii,star
Antares,heart of scorpion,star
Antares,antarees,star
Antares,antaris,star
Antares,antaress,star
Antares,antarres,star
Antares,an tares,star
Antares,go to antares,star
Antares,slew to antares,star
Antares,show me antares,star
Spica,spica,star
Spica,spica star,star
Spica,alpha virginis,star
Spica,speeka,star
Spica,spicah,star
Spica,spika,star
Spica,spicca,star
Spica,speeca,star
Spica,spyka,star
Spica,spyca,star
Spica,go to spica,star
Spica,slew to spica,star
Spica,show me spica,star
Pollux,pollux,star
Pollux,pollux star,star
Pollux,beta geminorum,star
Pollux,polux,star
Pollux,pollucks,star
Pollux,pollox,star
Pollux,polluks,star
Pollux,pollucx,star
Pollux,pollaks,star
Pollux,poluks,star
Pollux,go to pollux,star
Pollux,slew to pollux,star
Pollux,show me pollux,star
Procyon,procyon,star
Procyon,procyon star,star
Procyon,alpha canis minoris,star
Procyon,prosion,star
Procyon,procian,star
Procyon,prokyon,star
Procyon,procyen,star
Procyon,prosyon,star
Procyon,procyonn,star
Procyon,go to procyon,star
Procyon,slew to procyon,star
Procyon,show me procyon,star
Deneb,deneb,star
Deneb,deneb star,star
Deneb,alpha cygni,star
Deneb,denneb,star
Deneb,deneeb,star
Deneb,denib,star
Deneb,denepp,star
Deneb,denebb,star
Deneb,deaneb,star
Deneb,daneb,star
Deneb,go to deneb,star
Deneb,slew to deneb,star
Deneb,show me deneb,star
Altair,altair,star
Altair,altair star,star
Altair,alpha aquilae,star
Altair,altare,star
Altair,altayr,star
Altair,alltair,star
Altair,altiar,star
Altair,altaiir,star
Altair,altir,star
Altair,al tair,star
Altair,go to altair,star
Altair,slew to altair,star
Altair,show me altair,star
Fomalhaut,fomalhaut,star
Fomalhaut,fomalhaut star,star
Fomalhaut,alpha piscis austrini,star
Fomalhaut,formalhaut,star
Fomalhaut,fomelhaut,star
Fomalhaut,fomalhot,star
Fomalhaut,fomalhautt,star
Fomalhaut,foam al hoot,star
Fomalhaut,formal haut,star
Fomalhaut,fomal haut,star
Fomalhaut,fumalhaut,star
Fomalhaut,go to fomalhaut,star
Fomalhaut,slew to fomalhaut,star
Fomalhaut,show me fomalhaut,star
Regulus,regulus,star
Regulus,regulus star,star
Regulus,alpha leonis,star
Regulus,regulis,star
Regulus,regulas,star
Regulus,reggulus,star
Regulus,regullus,star
Regulus,rejulus,star
Regulus,regalus,star
Regulus,go to regulus,star
Regulus,slew to regulus,star
Regulus,show me regulus,star
Polaris,polaris,star
Polaris,polaris star,star
Polaris,north star,star
Polaris,pole star,star
Polaris,polares,star
Polaris,polariss,star
Polaris,polarius,star
Polaris,polairis,star
Polaris,polarus,star
Polaris,the north star,star
Polaris,go to polaris,star
Polaris,slew to polaris,star
Mercury,mercury,planet
Mercury,planet mercury,planet
Mercury,mercuree,planet
Mercury,merkury,planet
Mercury,mercuri,planet
Mercury,murcury,planet
Mercury,mercuury,planet
Mercury,mercry,planet
Mercury,mercuryy,planet
Mercury,merkuri,planet
Mercury,go to mercury,planet
Mercury,slew to mercury,planet
Mercury,show me mercury,planet
Venus,venus,planet
Venus,planet venus,planet
Venus,veenas,planet
Venus,veenus,planet
Venus,venuss,planet
Venus,vinous,planet
Venus,venis,planet
Venus,venius,planet
Venus,vennus,planet
Venus,the morning star,planet
Venus,go to venus,planet
Venus,slew to venus,planet
Venus,show me venus,planet
Venus,evening star,planet
Mars,mars,planet
Mars,planet mars,planet
Mars,the red planet,planet
Mars,marss,planet
Mars,marz,planet
Mars,maars,planet
Mars,marrs,planet
Mars,mahrs,planet
Mars,marts,planet
Mars,red planet,planet
Mars,go to mars,planet
Mars,slew to mars,planet
Mars,show me mars,planet
Jupiter,jupiter,planet
Jupiter,planet jupiter,planet
Jupiter,jupeter,planet
Jupiter,jupitor,planet
Jupiter,jupitter,planet
Jupiter,jupitur,planet
Jupiter,jupitar,planet
Jupiter,joopiter,planet
Jupiter,juppiter,planet
Jupiter,jupiteer,planet
Jupiter,go to jupiter,planet
Jupiter,slew to jupiter,planet
Jupiter,show me jupiter,planet
Saturn,saturn,planet
Saturn,planet saturn,planet
Saturn,saturne,planet
Saturn,satturn,planet
Saturn,saturnn,planet
Saturn,satarn,planet
Saturn,saturm,planet
Saturn,saturrn,planet
Saturn,satun,planet
Saturn,saitern,planet
Saturn,go to saturn,planet
Saturn,slew to saturn,planet
Saturn,show me saturn,planet
Saturn,the rings,planet
Uranus,uranus,planet
Uranus,planet uranus,planet
Uranus,urenus,planet
Uranus,uranas,planet
Uranus,uranis,planet
Uranus,uraynus,planet
